39,25,13,35,43
13,1,2,16,14
6,20,41,35,10
23,0,27,28,36
48,26,15,22,28
33,13,29,48,5
32,2,18,26,38
33,23,30,17,41
13,6,33,36,46
36,41,25,49,4
34,12,39,13,7
7,41,43,40,8
0,37,22,4,40
6,46,28,34,40
6,24,9,47,34
45,38,39,20,40
41,40,0,28,29
0,24,3,6,28
5,42,31,35,37
39,29,19,5,15
16,18,36,3,45
24,15,36,40,31
37,44,5,30,9
24,11,7,13,43
40,3,11,46,39
5,21,34,4,11
7,28,2,35,21
44,32,6,47,18
17,26,42,43,45
27,25,49,2,16
31,2,12,21,6
43,42,15,34,39
15,13,36,37,7
5,47,44,27,40
1,30,46,19,28
7,34,31,41,28
40,29,13,20,15
1,8,48,36,17
28,8,24,43,37
48,27,23,21,26
21,38,11,13,20
2,43,41,28,8
6,32,45,4,22
1,40,16,22,5
25,8,32,44,18
14,23,25,38,15
16,6,45,25,31
11,9,45,42,26
23,37,0,39,25
10,47,28,18,6
46,47,1,21,7
23,30,12,33,49
9,12,48,25,0
40,18,41,49,33
5,2,44,11,14
30,46,25,16,49
35,9,3,14,36
47,18,23,43,3
32,25,33,42,3
40,49,6,45,4
20,23,38,24,32
42,30,43,48,20
15,42,4,19,8
7,29,8,1,40
8,41,31,16,38
46,23,41,37,48
43,1,7,32,12
25,28,10,5,23
26,35,32,30,19
39,38,21,40,23
43,13,26,0,17
31,23,26,8,22
11,5,28,14,6
34,29,31,38,42
27,33,5,16,22
26,46,11,2,3
13,48,3,16,42
4,49,10,9,3
30,40,18,28,33
19,42,43,15,48
28,25,45,0,42
26,20,17,18,7
6,17,32,10,37
31,19,7,4,6
40,42,22,43,28
10,18,9,24,17
25,16,8,31,30
25,7,16,3,18
1,4,35,25,36
47,16,18,28,41
21,25,32,17,8
21,29,10,45,3
33,19,0,43,9
40,36,10,14,4
20,14,4,13,39
6,14,3,44,47
9,13,39,43,45
32,44,6,18,29
5,44,9,42,10
15,7,12,10,32
27,4,39,16,20
39,20,28,48,27
30,14,8,47,6
38,23,37,27,34
11,4,40,47,25
25,5,10,6,11
15,28,9,34,18
41,2,36,38,14
4,0,26,11,25
4,45,29,22,15
5,10,34,38,24
11,25,27,39,33
18,49,44,33,17
30,16,0,26,1
42,36,37,27,46
16,8,35,21,49
18,35,4,49,23
48,5,32,30,29
41,35,13,0,19
6,36,1,49,12
15,11,18,10,5
48,26,27,18,5
21,38,31,49,9
10,14,0,36,4
14,16,34,4,29
25,22,48,4,8
3,1,23,15,19
3,26,38,29,45
45,26,35,13,6
2,1,34,29,7
22,40,49,5,27
21,41,31,35,40
37,38,30,31,15
11,25,16,40,23
32,7,44,28,31
18,49,3,15,16
31,26,17,7,11
48,34,31,38,20
32,38,6,21,3
41,8,16,42,9
30,11,47,5,19
42,13,23,27,10
15,5,37,22,8
41,49,37,10,33
46,37,13,19,16
2,25,26,15,22
45,22,1,32,43
25,37,46,30,15
31,36,13,9,45
38,24,22,49,23
39,33,27,36,13
43,44,11,39,46
3,7,41,20,37
42,35,37,15,17
7,8,22,12,32
37,41,14,2,0
25,35,31,36,26
1,37,31,13,28
8,10,43,29,5
45,49,4,38,29
19,22,0,35,5
14,48,41,49,29
13,7,36,27,26
22,17,48,0,44
25,45,29,30,37
35,30,12,23,21
26,16,21,44,18
33,42,49,34,39
23,31,39,42,36
13,10,49,4,47
27,17,30,0,44
7,44,24,27,3
18,30,11,4,21
16,19,13,38,30
30,20,2,28,21
29,33,13,49,2
47,25,5,28,30
19,18,14,24,20
40,32,16,48,38
42,6,5,13,18
45,46,47,40,35
27,21,43,7,9
13,34,31,8,37
20,1,45,39,5
2,29,21,15,38
49,30,32,15,13
27,49,39,21,41
39,29,18,5,36
13,1,36,27,2
28,37,49,11,42
27,40,14,5,6
1,46,34,16,42
23,11,25,27,34
28,25,2,3,46
45,22,20,29,16
39,18,30,33,32
2,1,46,15,16
48,16,46,47,18
22,14,25,40,37
28,39,42,5,34
