23,0,37,41,13
15,44,32,1,23
37,21,32,4,30
8,25,24,47,42
0,39,15,36,8
23,1,44,3,19
41,33,2,31,11
18,14,20,6,33
6,45,43,29,33
49,1,29,15,16
2,0,7,22,8
47,45,2,40,11
18,30,13,24,37
10,34,33,8,6
19,37,23,17,32
17,20,22,41,8
33,25,30,31,26
36,18,5,41,33
7,14,40,13,39
22,48,31,2,36
35,11,21,39,14
23,40,46,35,24
27,34,9,26,28
3,26,24,11,45
9,36,47,24,15
4,42,37,39,0
11,46,32,27,18
39,47,15,32,37
21,19,26,3,25
32,27,48,47,5
27,42,0,35,3
46,8,21,7,31
16,8,26,5,9
32,4,40,42,26
31,9,13,14,26
41,44,10,9,46
3,0,48,29,47
8,43,39,22,2
21,26,32,49,13
33,32,25,28,38
30,32,5,19,24
45,32,37,15,29
23,19,21,27,43
8,40,3,30,46
34,13,28,41,8
41,10,7,14,29
47,17,48,21,5
46,9,30,8,41
11,2,24,10,34
37,21,49,48,17
27,23,31,22,28
36,13,29,5,49
30,11,8,47,14
23,19,3,42,33
38,44,13,18,46
41,16,0,8,25
13,10,7,0,31
26,30,47,1,35
6,26,3,23,18
29,49,42,43,27
36,9,40,34,47
24,3,11,43,5
30,5,15,26,7
8,29,31,26,41
18,41,45,43,20
42,16,45,43,41
49,38,45,5,10
41,18,0,4,37
31,25,28,19,27
36,30,37,41,35
37,22,45,42,4
42,11,6,23,39
14,0,17,4,46
44,33,25,12,27
18,20,9,44,7
2,34,10,1,39
46,36,31,9,41
36,35,33,12,41
44,23,17,38,31
2,36,26,45,37
43,3,37,16,17
29,49,48,21,9
33,22,0,25,15
42,29,5,48,24
36,32,40,16,25
38,13,7,2,16
44,48,21,10,47
13,24,25,17,1
48,26,30,24,31
10,16,48,22,3
43,15,7,23,21
20,48,3,14,15
34,31,6,16,47
33,36,14,26,32
28,26,15,6,7
14,17,30,35,0
0,28,17,24,30
8,22,17,44,4
11,39,46,15,26
29,3,18,1,47
8,40,11,36,46
24,1,13,45,21
16,8,33,5,17
25,45,29,20,11
35,40,34,13,21
46,37,4,21,2
20,41,0,18,24
42,45,21,28,38
13,17,30,6,15
29,36,0,44,39
41,39,20,6,49
5,29,3,44,46
8,38,33,17,49
32,38,5,24,47
21,1,39,7,17
30,48,39,43,11
37,33,46,39,43
45,15,39,25,13
0,38,40,37,3
23,34,6,17,15
25,39,19,41,30
35,47,45,27,5
9,41,0,36,39
45,38,42,30,0
29,25,43,24,32
36,12,32,3,22
12,36,13,5,3
1,2,19,26,9
17,5,45,8,39
38,8,30,28,16
29,20,16,37,36
36,0,44,32,34
6,5,46,8,14
9,3,6,18,12
21,4,43,42,25
27,2,44,48,45
38,48,30,15,18
23,6,24,43,12
2,42,22,44,46
46,1,24,32,9
27,23,18,9,16
10,36,7,4,9
40,9,4,21,22
36,26,11,2,43
11,7,10,49,15
9,35,28,5,42
41,18,11,0,8
42,34,47,38,40
4,1,26,14,28
23,33,12,29,37
35,9,36,10,37
43,7,20,11,47
12,24,14,34,11
49,15,6,30,4
31,13,47,24,42
28,37,25,42,34
19,30,32,39,26
39,41,21,40,43
49,48,40,45,6
17,3,27,25,15
40,32,12,16,38
38,35,46,48,13
30,49,43,17,22
48,31,47,9,43
0,48,19,11,47
26,49,19,14,32
36,13,5,16,14
17,12,31,10,23
23,39,22,36,30
36,2,23,4,43
16,31,19,22,43
45,8,26,44,32
40,5,13,30,39
48,45,2,16,11
14,46,18,16,19
35,10,47,40,15
42,28,49,21,48
18,33,31,0,27
14,32,46,38,19
49,13,34,47,28
30,5,38,9,22
21,45,8,39,24
37,19,10,32,36
0,47,49,25,10
40,1,13,4,21
46,13,27,15,5
16,34,29,15,24
6,25,26,7,5
34,10,24,45,25
31,14,3,7,18
18,34,16,45,39
25,21,19,46,24
30,15,21,49,4
19,45,25,7,48
13,33,44,24,31
41,14,2,31,8
3,14,15,41,29
28,0,31,5,21
6,48,16,44,38
13,14,20,48,17
